======================================================================
LEXICO | usuario=aledicaz | fecha-hora=02-11-2025-16h38
======================================================================
Total de tokens reconocidos: 157

 LÍNEA    POS                  TIPO  VALOR
----------------------------------------------------------------------
     5    101            IDENTIFIER  a
     5    103                  PLUS  +
     5    105            IDENTIFIER  b
     6    107            IDENTIFIER  let
     6    111            IDENTIFIER  x
     6    113                ASSIGN  =
     6    115                NUMBER  10
     7    118            IDENTIFIER  let
     7    122            IDENTIFIER  y
     7    124                ASSIGN  =
     7    126                NUMBER  5
    10    155            IDENTIFIER  let
    10    159            IDENTIFIER  suma
    10    164                ASSIGN  =
    10    166            IDENTIFIER  x
    10    168                  PLUS  +
    10    170            IDENTIFIER  y
    11    172            IDENTIFIER  let
    11    176            IDENTIFIER  resta
    11    182                ASSIGN  =
    11    184            IDENTIFIER  x
    11    186                 MINUS  -
    11    188            IDENTIFIER  y
    12    190            IDENTIFIER  let
    12    194            IDENTIFIER  multiplicacion
    12    209                ASSIGN  =
    12    211            IDENTIFIER  x
    12    213                 TIMES  *
    12    215            IDENTIFIER  y
    13    217            IDENTIFIER  let
    13    221            IDENTIFIER  division
    13    230                ASSIGN  =
    13    232            IDENTIFIER  x
    13    234                DIVIDE  /
    13    236            IDENTIFIER  y
    14    238            IDENTIFIER  let
    14    242            IDENTIFIER  modulo
    14    249                ASSIGN  =
    14    251            IDENTIFIER  x
    14    253                MODULO  %
    14    255            IDENTIFIER  y
    17    287            IDENTIFIER  let
    17    291            IDENTIFIER  esIgual
    17    299                ASSIGN  =
    17    301            IDENTIFIER  x
    17    303                    EQ  ==
    17    306            IDENTIFIER  y
    18    308            IDENTIFIER  let
    18    312            IDENTIFIER  esDiferente
    18    324                ASSIGN  =
    18    326            IDENTIFIER  x
    18    328                    NE  !=
    18    331            IDENTIFIER  y
    19    333            IDENTIFIER  let
    19    337            IDENTIFIER  esMayor
    19    345                ASSIGN  =
    19    347            IDENTIFIER  x
    19    349                    GT  >
    19    351            IDENTIFIER  y
    20    353            IDENTIFIER  let
    20    357            IDENTIFIER  esMenor
    20    365                ASSIGN  =
    20    367            IDENTIFIER  x
    20    369                    LT  <
    20    371            IDENTIFIER  y
    21    373            IDENTIFIER  let
    21    377            IDENTIFIER  mayorIgual
    21    388                ASSIGN  =
    21    390            IDENTIFIER  x
    21    392                    GE  >=
    21    395            IDENTIFIER  y
    22    397            IDENTIFIER  let
    22    401            IDENTIFIER  menorIgual
    22    412                ASSIGN  =
    22    414            IDENTIFIER  x
    22    416                    LE  <=
    22    419            IDENTIFIER  y
    25    460            IDENTIFIER  var
    25    464            IDENTIFIER  contador
    25    473                ASSIGN  =
    25    475                NUMBER  0
    26    477            IDENTIFIER  contador
    26    486           PLUS_ASSIGN  +=
    26    489                NUMBER  1
    27    491            IDENTIFIER  contador
    27    500          MINUS_ASSIGN  -=
    27    503                NUMBER  1
    28    505            IDENTIFIER  contador
    28    514          TIMES_ASSIGN  *=
    28    517                NUMBER  2
    29    519            IDENTIFIER  contador
    29    528            DIV_ASSIGN  /=
    29    531                NUMBER  2
    30    533            IDENTIFIER  contador
    30    542            MOD_ASSIGN  %=
    30    545                NUMBER  3
    33    571            IDENTIFIER  let
    33    575            IDENTIFIER  flag
    33    580                ASSIGN  =
    33    582            IDENTIFIER  true
    34    587            IDENTIFIER  let
    34    591            IDENTIFIER  negacion
    34    600                ASSIGN  =
    34    602                   NOT  !
    34    603            IDENTIFIER  flag
    35    608            IDENTIFIER  let
    35    612            IDENTIFIER  andLogico
    35    622                ASSIGN  =
    35    624            IDENTIFIER  flag
    35    629                   AND  &&
    35    632            IDENTIFIER  true
    36    637            IDENTIFIER  let
    36    641            IDENTIFIER  orLogico
    36    650                ASSIGN  =
    36    652            IDENTIFIER  flag
    36    657                    OR  ||
    36    660            IDENTIFIER  false
    39    688            IDENTIFIER  let
    39    692            IDENTIFIER  resultado
    39    702                ASSIGN  =
    39    704            IDENTIFIER  x
    39    706                    GT  >
    39    708            IDENTIFIER  y
    39    710              QUESTION  ?
    39    712            IDENTIFIER  x
    39    714                 COLON  :
    39    716            IDENTIFIER  y
    42    737            IDENTIFIER  let
    42    741            IDENTIFIER  nombre
    42    748                ASSIGN  =
    42    751            IDENTIFIER  Juan
    43    757            IDENTIFIER  let
    43    761            IDENTIFIER  nombreFinal
    43    773                ASSIGN  =
    43    775            IDENTIFIER  nombre
    43    782          NIL_COALESCE  ??
    43    786            IDENTIFIER  An
    43    789            IDENTIFIER  nimo
    46    819            IDENTIFIER  let
    46    823            IDENTIFIER  rangoCerrado
    46    836                ASSIGN  =
    46    838                NUMBER  1
    46    839          CLOSED_RANGE  ...
    46    842                NUMBER  5
    47    844            IDENTIFIER  let
    47    848            IDENTIFIER  rangoSemiAbierto
    47    865                ASSIGN  =
    47    867                NUMBER  0
    47    868       HALF_OPEN_RANGE  ..<
    47    871                NUMBER  10
    49    875            IDENTIFIER  let
    49    879            IDENTIFIER  x
    49    881                ASSIGN  =
    49    883                NUMBER  10
    55    991            IDENTIFIER  fin
    55    995                 TIMES  *
    55    996                DIVIDE  /
======================================================================
